S. No,Season,Home \ Away,S.No. 1,S.No. 2,S.No. 3,S.No. 4,S.No. 5,S.No. 6,S.No. 7,S.No. 8,S.No. 9,S.No. 10,S.No. 11,S.No. 12,S.No. 13,S.No. 14,S.No. 15,S.No. 16,S.No. 17,S.No. 18,S.No. 19,S.No. 20,Pos,Pld,W,D,L
1,2019-20,Alavés,  ,2–1,1–1,0–5,2–0,2–1,0–0,0–0,0–2,1–1,1–0,2–0,0–1,1–1,1–2,2–0,0–1,1–1,3–0,1–2,16,38,10,9,19
2,2019-20,Athletic Bilbao,2–0,  ,1–1,1–0,1–1,0–0,3–0,0–2,2–0,0–2,2–1,3–1,0–1,1–0,0–1,2–0,1–2,0–1,1–1,1–0,11,38,13,12,13
3,2019-20,Atlético Madrid,2–1,2–0,  ,0–1,0–0,3–2,3–1,1–0,1–0,0–0,2–1,3–0,2–0,1–0,0–0,1–1,2–2,1–1,1–0,3–1,3,38,18,16,4
4,2019-20,Barcelona,4–1,1–0,2–2,  ,4–1,5–0,1–0,2–1,1–0,2–0,2–1,5–2,1–2,5–2,0–0,1–0,4–0,5–2,5–1,2–1,2,38,25,7,6
5,2019-20,Celta Vigo,6–0,1–0,1–1,2–2,  ,0–0,1–1,0–1,0–2,1–0,2–3,2–2,1–1,1–1,1–3,0–1,2–1,1–0,0–0,0–1,17,38,7,16,15
6,2019-20,Eibar,0–2,2–2,2–0,0–3,2–0,  ,1–2,0–1,3–0,0–0,3–0,1–2,0–2,1–1,0–4,1–2,3–2,1–0,3–1,2–1,14,38,11,9,18
7,2019-20,Espanyol,2–0,1–1,1–1,2–2,0–0,0–2,  ,1–1,0–3,0–1,1–3,1–0,2–4,2–2,0–1,1–3,0–2,1–2,0–2,0–1,20,38,5,10,23
8,2019-20,Getafe,1–1,1–1,0–2,0–2,0–0,1–1,0–0,  ,3–1,2–0,4–0,4–2,0–0,1–0,0–3,2–1,0–3,3–0,2–0,1–3,8,38,14,12,12
9,2019-20,Granada,3–0,4–0,1–1,2–0,0–0,1–2,2–1,2–1,  ,1–0,1–2,1–0,1–0,1–0,1–2,1–2,0–1,2–2,2–1,0–1,7,38,16,8,14
10,2019-20,Leganés,1–1,1–1,0–1,1–2,3–2,1–2,2–0,0–3,0–0,  ,1–2,1–0,0–1,0–0,2–2,2–1,0–3,1–0,1–2,0–3,18,38,8,12,18
11,2019-20,Levante,0–1,1–2,0–1,3–1,3–1,0–0,0–1,1–0,1–1,2–0,  ,2–1,1–1,4–2,1–0,1–1,1–1,2–4,2–0,2–1,12,38,14,7,17
12,2019-20,Mallorca,1–0,0–0,0–2,0–4,5–1,2–1,2–0,0–1,1–2,1–1,2–0,  ,2–2,1–2,1–0,0–1,0–2,4–1,0–1,3–1,19,38,9,6,23
13,2019-20,Osasuna,4–2,1–2,0–5,2–2,2–1,0–0,1–0,0–0,0–3,2–1,2–0,2–2,  ,0–0,1–4,3–4,1–1,3–1,0–0,2–1,10,38,13,13,12
14,2019-20,Real Betis,1–2,3–2,1–2,2–3,2–1,1–1,1–0,1–1,2–2,2–1,3–1,3–3,3–0,  ,2–1,3–0,1–2,2–1,1–2,0–2,15,38,10,11,17
15,2019-20,Real Madrid,2–0,0–0,1–0,2–0,2–2,3–1,2–0,1–0,4–2,5–0,3–2,2–0,2–0,0–0,  ,3–1,2–1,3–0,1–1,2–1,1,38,26,9,3
16,2019-20,Real Sociedad,3–0,2–1,2–0,2–2,0–1,4–1,2–1,1–2,2–3,1–1,1–2,3–0,1–1,3–1,1–2,  ,0–0,3–0,1–0,1–2,6,38,16,8,14
17,2019-20,Sevilla,1–1,1–1,1–1,0–0,1–1,1–0,2–2,2–0,2–0,1–0,1–0,2–0,3–2,2–0,0–1,3–2,  ,1–0,1–1,1–2,4,38,19,13,6
18,2019-20,Valencia,2–1,0–2,2–2,2–0,1–0,1–0,1–0,3–3,2–0,1–1,1–1,2–0,2–0,2–1,1–1,1–1,1–1,  ,2–1,2–1,9,38,14,11,13
19,2019-20,Valladolid,1–0,1–4,0–0,0–1,0–0,2–0,2–1,1–1,1–1,2–2,0–0,3–0,1–1,2–0,0–1,0–0,0–1,1–1,  ,1–1,13,38,9,15,14
